关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
燃油效率,fuelEfficiency,每单位燃料使用的距离；最常见的是英里/加仑（mpg）或公里/升（km / L）。注1：不幸的是，没有标准的单位代码来表示英里/加仑或公里/升。使用unitText表示度量单位，例如mpg或km / L。注2：有两种指示燃油消耗的方式，即耗油量（例如，每100公里8升）和燃油效率（例如，每加仑30英里）。注意：通常，绝对值仅在与行驶速度（“以80 km / h”行驶）或使用方式（“城市交通”）相关时才有用。您可以使用valueReference将燃油经济性的值链接到另一个值。,"The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).Note 1: There are unfortunately no standard unit codes for miles per gallon or kilometers per liter. Use unitText to indicate the unit of measurement, e.g. mpg or km/L.Note 2: There are two ways of indicating the fuel consumption, fuelConsumption (e.g. 8 liters per 100 km) and fuelEfficiency (e.g. 30 miles per gallon). They are reciprocal.Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use valueReference to link the value for the fuel economy to another value.",Vehicle,QuantitativeValue
燃油类型,fuelType,适用于车辆发动机的燃料类型。如果车辆只有一个引擎，则可以将该属性直接附加到车辆上。,"The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.","EngineSpecification, Vehicle","QualitativeValue, Text, URL"
功能类,functionalClass,关节允许的活动度。,The degree of mobility the joint allows.,Joint,"MedicalEntity, Text"
资助项目,fundedItem,表示通过赠款资助或赞助的项目。,Indicates an item funded or sponsored through a Grant.,Grant,Thing
出资人,funder,通过某种财政捐助来支持（赞助人）某物的个人或组织。,A person or organization that supports (sponsors) something through some kind of financial contribution.,"CreativeWork, Event, MonetaryGrant, Organization, Person","Organization, Person"
游戏,game,在此服务器上播放的视频游戏。,Video game which is played on this server.,GameServer,VideoGame
游戏物品,gameItem,物品是游戏世界中的一个对象，可以由玩家或非玩家角色收集。,"An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.","Game, VideoGameSeries",Thing
游戏位置,gameLocation,游戏（或游戏的一部分）的真实或虚构位置。,Real or fictional location of the game (or part of game).,"Game, VideoGameSeries","Place, PostalAddress, URL"
游戏平台,gamePlatform,用于玩视频游戏的电子系统。,The electronic systems used to play video games.,"VideoGame, VideoGameSeries","Text, Thing, URL"
游戏服务器,gameServer,可以在其上玩游戏的服务器。,The server on which  it is possible to play the game.,VideoGame,GameServer
游戏提示,gameTip,链接到技巧，策略等,"Links to tips, tactics, etc.",VideoGame,CreativeWork
性别,gender,某物的性别，通常是人，但也可能是虚构人物，动物等。虽然可以使用公母，但对于不标识为二进制性别的人，文本字符串也是可以接受的。性别属性也可以扩展使用，以涵盖例如运动队的性别。与个人性别一样，我们不会尝试列举所有可能性。混合性别的SportsTeam可以使用文本值“混合”来表示。,"Gender of something, typically a Person, but possibly also fictional characters, animals, etc. While Male and Female may be used, text strings are also acceptable for people who do not identify as a binary gender. The gender property can also be used in an extended sense to cover e.g. the gender of sports teams. As with the gender of individuals, we do not try to enumerate all possibilities. A mixed-gender SportsTeam can be indicated with a text value of ""Mixed"".","Person, SportsTeam","GenderType, Text"
类型,genre,创意作品，广播频道或组的类型。,"Genre of the creative work, broadcast channel or group.","BroadcastChannel, CreativeWork, MusicGroup","Text, URL"
地缘,geo,地点的地理坐标。,The geo coordinates of the place.,Place,"GeoCoordinates, GeoShape"
地理位置包含,geoContains,表示两个几何（或其表示的位置）之间的关系，将包含的几何与包含的几何相关联。 “ a包含b，只要b的点不位于a的外部，而b的内部的至少一个点位于a的内部”。如DE-9IM中所定义。,"Represents a relationship between two geometries (or the places they represent), relating a containing geometry to a contained geometry. ""a contains b iff no points of b lie in the exterior of a, and at least one point of the interior of b lies in the interior of a"". As defined in DE-9IM.","GeospatialGeometry, Place","GeospatialGeometry, Place"
地理覆盖,geoCoveredBy,表示两个几何（或其代表的位置）之间的关系，将一个几何与另一个覆盖它的几何相关。如DE-9IM中所定义。,"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that covers it. As defined in DE-9IM.","GeospatialGeometry, Place","GeospatialGeometry, Place"
地理覆盖,geoCovers,表示两个几何（或其表示的位置）之间的关系，将覆盖几何与覆盖几何相关联。 “ b的每个点都是a的点（内部或边界）”。如DE-9IM中所定义。,"Represents a relationship between two geometries (or the places they represent), relating a covering geometry to a covered geometry. ""Every point of b is a point of (the interior or boundary of) a"". As defined in DE-9IM.","GeospatialGeometry, Place","GeospatialGeometry, Place"
地理交叉,geoCrosses,表示两个几何图形（或它们表示的位置）之间的关系，将一个几何图形与另一个与其交叉的几何图形相关联：“ a交叉b：它们具有一些但不是全部内部点相同，并且交点的尺寸小于交点的尺寸至少其中之一”。如DE-9IM中所定义。,"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that crosses it: ""a crosses b: they have some but not all interior points in common, and the dimension of the intersection is less than that of at least one of them"". As defined in DE-9IM.","GeospatialGeometry, Place","GeospatialGeometry, Place"
地理不相交,geoDisjoint,表示两个几何（或它们代表的位置）在拓扑上不相交的空间关系：它们没有共同点。它们形成了一组不连续的几何。”（对称关系，在DE-9IM中定义）,"Represents spatial relations in which two geometries (or the places they represent) are topologically disjoint: they have no point in common. They form a set of disconnected geometries."" (a symmetric relationship, as defined in DE-9IM)","GeospatialGeometry, Place","GeospatialGeometry, Place"
地理平等,geoEquals,表示空间关系，其中两个几何（或其表示的位置）在拓扑上相等，如DE-9IM中所定义。 “如果两个几何的内部相交并且一个几何的内部或边界的任何部分都不与另一个几何的外部相交，则两个拓扑在拓扑上相等”（对称关系）,"Represents spatial relations in which two geometries (or the places they represent) are topologically equal, as defined in DE-9IM. ""Two geometries are topologically equal if their interiors intersect and no part of the interior or boundary of one geometry intersects the exterior of the other"" (a symmetric relationship)","GeospatialGeometry, Place","GeospatialGeometry, Place"
